instance,name,num,seed,initial_ct,final_ct,time,solution_file
12_ros,roszieg,12,13,64.0,25,4.214418888092041,solutions/ils/12_ros_ils_seed13.txt
12_ros,roszieg,12,14,62.0,25,4.666871786117554,solutions/ils/12_ros_ils_seed14.txt
41_ros,roszieg,41,10,55.0,10,1.5879180431365967,solutions/ils/41_ros_ils_seed10.txt
41_ros,roszieg,41,11,12.0,10,2.1515190601348877,solutions/ils/41_ros_ils_seed11.txt
41_ros,roszieg,41,12,16.0,10,0.08826398849487305,solutions/ils/41_ros_ils_seed12.txt
41_ros,roszieg,41,13,20.0,10,4.160887002944946,solutions/ils/41_ros_ils_seed13.txt
41_ros,roszieg,41,14,15.0,10,0.05216193199157715,solutions/ils/41_ros_ils_seed14.txt
42_ros,roszieg,42,10,27.0,10,1.035128116607666,solutions/ils/42_ros_ils_seed10.txt
42_ros,roszieg,42,11,27.0,10,1.3161101341247559,solutions/ils/42_ros_ils_seed11.txt
42_ros,roszieg,42,12,22.0,10,4.602523326873779,solutions/ils/42_ros_ils_seed12.txt
42_ros,roszieg,42,13,37.0,10,1.332082748413086,solutions/ils/42_ros_ils_seed13.txt
42_ros,roszieg,42,14,15.0,10,0.06292986869812012,solutions/ils/42_ros_ils_seed14.txt
51_ros,roszieg,51,10,46.0,11,0.8435990810394287,solutions/ils/51_ros_ils_seed10.txt
51_ros,roszieg,51,11,61.0,11,2.414736270904541,solutions/ils/51_ros_ils_seed11.txt
51_ros,roszieg,51,12,40.0,11,1.922576665878296,solutions/ils/51_ros_ils_seed12.txt
51_ros,roszieg,51,13,109.0,11,1.424659013748169,solutions/ils/51_ros_ils_seed13.txt
51_ros,roszieg,51,14,61.0,11,0.24389100074768066,solutions/ils/51_ros_ils_seed14.txt
52_ros,roszieg,52,10,16.0,10,1.970418930053711,solutions/ils/52_ros_ils_seed10.txt
52_ros,roszieg,52,11,70.0,10,5.2004570960998535,solutions/ils/52_ros_ils_seed11.txt
52_ros,roszieg,52,12,30.0,10,6.145875930786133,solutions/ils/52_ros_ils_seed12.txt
52_ros,roszieg,52,13,61.0,10,0.22597789764404297,solutions/ils/52_ros_ils_seed13.txt
52_ros,roszieg,52,14,70.0,10,0.12943530082702637,solutions/ils/52_ros_ils_seed14.txt
61_ros,roszieg,61,10,30.0,16,1.7379326820373535,solutions/ils/61_ros_ils_seed10.txt
61_ros,roszieg,61,11,48.0,16,2.2527379989624023,solutions/ils/61_ros_ils_seed11.txt
61_ros,roszieg,61,12,50.0,16,5.42481803894043,solutions/ils/61_ros_ils_seed12.txt
61_ros,roszieg,61,13,24.0,16,0.3494598865509033,solutions/ils/61_ros_ils_seed13.txt
61_ros,roszieg,61,14,29.0,16,0.675605058670044,solutions/ils/61_ros_ils_seed14.txt
62_ros,roszieg,62,10,26.0,13,0.07372784614562988,solutions/ils/62_ros_ils_seed10.txt
62_ros,roszieg,62,11,25.0,13,0.22322297096252441,solutions/ils/62_ros_ils_seed11.txt
62_ros,roszieg,62,12,26.0,13,0.14574313163757324,solutions/ils/62_ros_ils_seed12.txt
62_ros,roszieg,62,13,23.0,13,2.3492238521575928,solutions/ils/62_ros_ils_seed13.txt
